h_single_phase,h_evaporation,h_condensation,f_single_phase,f_evaporation,f_condensation,beta,phi,gamma,eta_is,Q,T1_prime,T4_prime,log_A_evap,log_A_cond
0.6877431844718764,1.0070277922674766,0.9000368895574233,1.1359148589941017,0.9287936720261621,0.8625907063710093,46.37718200683594,1.1257247924804685,0.6389236450195314,0.6919998168945313,26618.423461914062,291.7033386230469,307.67011108398435,0.6396451441682294,1.4437417657536544
0.7097542521470892,0.8642580373445075,1.1138173468493375,1.0788200856381922,1.06559775170181,0.8156250302451643,39.58030700683594,1.1929122924804687,0.5029861450195313,0.5998123168945313,22946.548461914062,298.4220886230469,310.01386108398435,0.730478151380974,1.0774695249926691
1.0099700131068052,1.071309088353328,0.9107889848003854,0.8739553681367188,0.8563168799201503,1.0417042516472124,54.58030700683594,1.2929122924804686,0.6029861450195313,0.6998123168945313,27946.548461914062,288.4220886230469,320.01386108398435,0.9020257442912923,1.116283759280581
1.1140623339206133,0.9745922410598202,0.7085513079985974,1.247268919220792,0.9693550838611663,0.9460325464519438,47.08030700683594,1.1429122924804687,0.4529861450195313,0.7498123168945313,20446.548461914062,283.4220886230469,305.01386108398435,0.36289896071275135,1.243851236849496
0.9110079984710036,1.2244848982479926,1.0097860236379732,0.9812913091778372,1.2098162361190592,1.1617145062048262,32.08030700683594,1.2429122924804685,0.5529861450195314,0.6498123168945313,25446.548461914062,293.4220886230469,315.01386108398435,1.3036112024051165,1.2993393811072196
0.9625788271162782,0.924662947601269,0.9623894033485185,1.0285097065884017,0.9187655326460507,1.323579006002263,43.33030700683594,1.2679122924804687,0.5279861450195313,0.7248123168945313,21696.548461914062,285.9220886230469,312.51386108398435,0.7548527917232672,0.8564305620059869
1.1935191974106318,1.1304435154991053,1.1930979945202689,0.7844624490942002,1.1230883295373049,0.9941723906441112,58.33030700683594,1.1679122924804686,0.6279861450195313,0.6248123168945313,26696.548461914062,295.9220886230469,322.51386108398435,0.40654123537287007,0.6088024030222442
1.058404736537347,0.7639041037204805,1.0582067387336438,1.140404301582294,1.0166000352871887,1.09397418476741,50.83030700683594,1.2179122924804686,0.4779861450195313,0.5748123168945313,24196.548461914062,290.9220886230469,307.51386108398435,0.9937265294169924,0.8637041629304566
0.8454948134320952,1.0217888802078718,0.8451824182928129,0.9320901673062338,0.7441897251405571,0.8913862351218488,35.83030700683594,1.1179122924804685,0.5779861450195314,0.6748123168945312,29196.548461914062,280.9220886230469,317.51386108398435,0.8485850404918915,1.8088051066907038
0.8811055900042294,0.9982128146790993,1.0335565339615231,0.6654867453739844,0.889942024672035,0.8580590613141466,37.70530700683594,1.2054122924804687,0.5404861450195313,0.5873123168945313,29821.548461914062,282.1720886230469,318.76386108398435,1.2750001782172682,1.349348183359912
1.084764894784511,1.388993672926334,0.7975005747337177,1.0048401821983628,1.0926305707159838,1.066818327312669,52.70530700683594,1.1054122924804686,0.6404861450195314,0.6873123168945313,24821.548461914062,292.1720886230469,308.76386108398435,0.33071468889958694,1.270851101439268
